Neighborhood,Median Price Per Sq Foot
West Village,7.68
Tribeca,7.64
NoMad,7.63
Central Park,7.53
NoHo,7.38
Koreatown,7.16
Flatiron District,7.1
Bowery,7.09
Greenwich Village,6.96
Chelsea,6.77
Soho,6.74
DUMBO,6.37
NoLita,5.88
Murray Hill,5.79
Hell's Kitchen,5.74
East Village,5.71
Financial District,5.66
Gramercy Park,5.59
Theater District,5.59
Upper West Side,5.53
Garment District,5.43
Brooklyn Heights,5.4
Kips Bay,5.4
Civic Center,5.35
Two Bridges,5.25
Lower East Side,5.23
Battery Park City,5.2
Fort Greene,5.19
Williamsburg,5.15
Boerum Hill,5.14
Midtown East,5.13
Downtown Brooklyn,5.11
Upper East Side,5.03
Chinatown,5
Turtle Bay,4.99
Stuyvesant Town - Peter Cooper Village,4.97
Little Italy,4.9
Long Island City,4.5
Cobble Hill,4.42
Queens Village,4.27
West Harlem,4.1
Gowanus,4.07
Prospect Heights,4
Prospect Park,4
Utopia,4
Roosevelt Island,3.84
Greenpoint,3.83
East Harlem,3.76
Vinegar Hill,3.71
Carroll Gardens,3.67
Jackson Heights,3.63
Park Slope,3.56
Central Harlem,3.41
Windsor Terrace,3.36
Red Hook,3.21
Belmont,3.2
Washington Heights,3.18
Clinton Hill,3.16
Melrose,3.16
Hillcrest,3.13
Coney Island,3.09
Crown Heights,2.94
Greenwood Heights,2.91
Grymes Hill,2.85
Bayside,2.84
Jamaica Estates,2.84
Bedford-Stuyvesant,2.83
Astoria,2.83
East New York,2.8
Bushwick,2.8
Sheepshead Bay,2.77
Kensington,2.77
Ridgewood,2.73
Tompkinsville,2.72
Briarwood,2.72
Flatbush,2.7
Kew Gardens Hills,2.64
Rego Park,2.64
Mott Haven,2.62
Ocean Hill,2.61
Fresh Meadows,2.6
Bay Ridge,2.6
Woodside,2.58
Mount Hope,2.55
Allerton,2.53
Riverdale,2.52
Kingsbridge,2.51
Flushing,2.5
Kew Gardens,2.48
Hollis,2.47
Inwood,2.46
Brighton Beach,2.45
Jamaica,2.45
Forest Hills,2.44
Parkchester,2.43
East Flatbush,2.43
Woodlawn Heights,2.43
Rosedale,2.41
Unionport,2.41
Borough Park,2.37
New Dorp,2.36
Elmhurst,2.34
Sunset Park,2.31
Castle Hill,2.3
Far Rockaway,2.3
Brookville,2.29
Fordham Heights,2.28
Bath Beach,2.26
Castleton Corners,2.24
Clason Point,2.24
Middle Village,2.24
Corona,2.24
Midwood,2.24
Travis - Chelsea,2.24
St. Albans,2.22
Mapleton,2.2
Richmond Hill,2.2
Pelham Parkway,2.17
Edenwald,2.14
Norwood,2.13
Fort Hamilton,2.12
Canarsie,2.11
Flatlands,2.1
Gravesend,2.1
Jamaica Hills,2.09
Howard Beach,2.09
Tottenville,2.09
Bensonhurst,2.08
Wakefield,2.08
Van Nest,2.07
Bedford Park,2.07
Eastchester,2.07
University Heights,2.07
Glendale,2.06
Throgs Neck,2.05
Woodhaven,2.05
Maspeth,2.04
Concourse Village,2.02
West Farms,2
Brownsville,1.98
Annadale,1.96
St. George,1.95
Pelham Bay,1.93
Rockaway Beach,1.91
West Brighton,1.91
Pelham Gardens,1.89
City Island,1.88
Morris Park,1.88
Stapleton,1.87
Marine Park,1.87
Midland Beach,1.86
Dyker Heights,1.82
Williamsbridge,1.8
Fordham Manor,1.8
Sunnyside,1.8
Mariners Harbor,1.79
Arden Heights,1.69
Ozone Park,1.67
Grasmere,1.63
Rosebank,1.6
New Dorp Beach,1.59
New Brighton,1.57
Great Kills,1.55
Port Richmond,1.54
Greenridge,1.52
Eltingville,1.45
Bay Terrace,1.44
South Beach,1.41
Dongan Hills,1.39
Rossville,1.38
New Springville,1.38
Bulls Head,1.38
Fort Wadsworth,1.35
Westerleigh,1.34
Todt Hill,1.31
Grant City,1.23
Concourse,1.22
Morris Heights,1.12
Auburndale,1.03
Manor Heights,1.02
Woodrow,0.91
Clifton,0.82
Prince's Bay,0.81
Oakwood,0.8
Highbridge,0.71